diseaseLabel,disease,symptomsLabel,symptoms,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
Hiposomatotropismo,Q194101,Q7502090,Q7502090, , ,Q63441638,Q63441638, , , , , , , , ,C0013336,D004392,C34554,https://eu.wikipedia.org/wiki/Nanismo,Populazioan sexu eta arraza jakin baten batezbesteko altuera baino askoz altuera txikiagoa duen pertsonaren gaitza,"Enanismo,nanismo"
Atrofia,Q194520, , , , ,Q65152739,Q65152739, , , , , , , , , ,D001284, ,https://eu.wikipedia.org/wiki/Atrofia, ,Endurtze
Q196781,Q196781, , , , , , , , , , , , , , ,C0543612, , , , , 
Q196788,Q196788, , , , , , , , , , , , , , ,C0206708,D018290,C3782, , , 
entzefalitis,Q199615, , ,aziklobir,Q147101, , , , ,Amorru,Q39222, , ,"323.0,323.8,323.9",A85,C0014038,D004660,C26760,https://eu.wikipedia.org/wiki/Entzefalitis, , 
Biriketako gaixotasun butxatzaile kronikoa,Q199804,"Arnasestu,Eztul,Q517104","Q188008,Q35805,Q517104","Ambroxol,Formoterol,Klenbuterol,Q2166700,Q27137018,Q3633651,Q3731252,Q3733837,Q411917,Q423408,Q425654","Q2166700,Q221637,Q223412,Q27137018,Q3633651,Q3731252,Q3733837,Q411917,Q423408,Q425654,Q637247", , ,Q662860,Q662860,"Hauts,Q662860","Q165632,Q662860","Espirometria,Q648497","Q648497,Q653305","490-496.99,496",J44.9,C0024117,D029424,C3199,https://eu.wikipedia.org/wiki/Biriketako_Gaixotasun_Butxatzaile_Kronikoa, ,BGBK
Barize,Q201180, , ,"Q20817018,Q7553377","Q20817018,Q7553377", , , , , , , , ,"454.9,456.8",I83.90,"C0042345,C1969953",D014648,C35114,https://eu.wikipedia.org/wiki/Barize, , 
Lymeko gaitz,Q201989,"Miokardiopatia hipertrofiko,artralgia,artritis,bertigo,bihotzeko arritmia,buruko min,entzefalomielitis,eritema migrans kroniko,faszikulazio,meningitis,meningo-entzefalitis,mialgia,min neuropatiko kroniko,miokarditis,neke,neuritis,parestesia,sukar","Q10686316,Q1364270,Q1397878,Q1634879,Q170990,Q186235,Q189331,Q2307256,Q2346415,Q2558634,Q38933,Q474959,Q48143,Q58490835,Q683498,Q769220,Q86,Q9690","Azitromizina,amoxizilina,doxiziklina,zeftriaxona,zefuroxima","Q165399,Q201928,Q413728,Q421713,Q422442",Q17103401,Q17103401, , ,Borrelia burgdorferi,Q2723634,"Biopsia,ELISA,Q48743,miaketa fisiko,ziztada lunbar","Q179991,Q332126,Q48743,Q719444,Q835153",088.81,"A69.2,A69.20","C0024198,C0752235",D008193,C45161,https://eu.wikipedia.org/wiki/Lyme_gaitz, ,"Borreliosi,Lyme gaitza,Lymeko gaitza"
Bekatxo,Q202173, , , , , , , , ,Staphylococcus aureus,Q188121, , , ,H00.01,"C0019917,C4280376",D006726,C118722,https://eu.wikipedia.org/wiki/Bekatxo, , 
Turner sindrome,Q202849, , , , ,Q56014434,Q56014434, , , , , , , ,"Q96,Q96.0,Q96.9","C0041408,C1527168",D014424,"C26900,C34434,C85210",https://eu.wikipedia.org/wiki/Turner_sindrome,"Aberrazio kromosomiko baten ondorioz sortzen den sindromea. Ia kasu guztietan emakumezkoan agertzen da eta ezaugarri nagusiak fenotipo femeninoak, altuera txikia, sexu-organo gutxi garatu eta antzuak, pubertaterik eza eta hainbat malformazio dira","Turner sindromea,Turnerren sindrome"
anbliopia,Q207855, , , , , , , , , , , , ,368.00,H53.00,C0002418,D000550,C118764, ,"Ikusmenaren gutxitzea, eskuarki begiaren lesio organikorik izan gabe gertatutakoa", 
Garatxo benereo,Q208726, , ,"Q22075831,Q27280825,Q423417,Q6046446","Q22075831,Q27280825,Q423417,Q6046446", , ,Q662860,Q662860,Giza papilomaren birus,Q184627, , ,078.11,A63.0,"C0009663,C0554632",D003218,"C2960,C4820",https://eu.wikipedia.org/wiki/Garatxo_benereo, , 
Q209522,Q209522,Q2303219,Q2303219, , ,Q2742106,Q2742106, , , , , , ,307.51,F50.8, ,D056912,C97162, , , 
Delirium tremens,Q209647,Q397554,Q397554, , , , , , ,Q7331102,Q7331102, , ,291.0, , ,D000430, ,https://eu.wikipedia.org/wiki/Delirium_tremens, , 
Hipertrofia,Q216211, , , , , , , , , , , , , , , ,D006984, ,https://eu.wikipedia.org/wiki/Hipertrofia, , 
Q216866,Q216866, , , , ,"Kimerismo,Q32744","Q281721,Q32744", , , , , , , , ,C0041428,D014428,C98903, , , 
Q218712,Q218712, , ,"Omeprazol,Q1188290,Q254296,Q286846,Q3515,Q409492,Q411159","Q1188290,Q254296,Q286846,Q3515,Q409492,Q411159,Q422210", , , , , , , , , ,E16.4,C0043515,D015043,C3453, , , 
Cushingen sindrome,Q219102, , ,"Q241150,Q417465","Q241150,Q417465", , , , , , , , , , , ,D003480,C2969,https://eu.wikipedia.org/wiki/Cushingen_sindrome, , 
