diseaseLabel,disease,symptomsLabel,symptoms,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
Q55782095,Q55782095, , , , , , , , , , , , , ,E72.1,C1855128, , , , , 
Q55782096,Q55782096, , , , , , , , , , , , , ,E71.1,"C1855100,C1855101",C565386, , , , 
Q55782103,Q55782103, , , , , , , , , , , , , , ,"C0796063,C2673414", , , , , 
Q55782106,Q55782106, , , , , , , , , , , , ,751.5, ,"C0266200,C3553395",C562563,C98987, , , 
Q55782114,Q55782114, , , , , , , , , , , , , , ,C1855033,C537476, , , , 
Q55782118,Q55782118, , , , , , , , , , , , , , ,C1854961,C536988, , , , 
Q55782129,Q55782129, , , , , , , , , , , , , , ,"C0410214,C4310822", , , , , 
Q55782130,Q55782130, , , , , , , , , , , , ,259.8,G71.3,C1850718,C564972, , , , 
Q55782133,Q55782133, , , , , , , , , , , , , ,G71.8,"C1611706,C1850671",C564968, , , , 
Q55782142,Q55782142, , , , , , , , , , , , , , ,"C0268747,C3151568", ,C123106, , , 
Q55782168,Q55782168, , , , , , , , , , , , , , ,C1850303, , , , , 
Q55782176,Q55782176, , , , , , , , , , , , , , ,C1850186,C564923, , , , 
Q55782206,Q55782206, , , , , , , , , , , , , ,E74.0,C0268149,C536176, , , , 
Q55782218,Q55782218, , , , , , , , , , , , , , ,C1849762,C564881, , , , 
Q55782230,Q55782230, , , , , , , , , , , , , , ,C1849699,C564871, , , , 
Q55782238,Q55782238, , , , , , , , , , , , , ,Q87.0,C1849661,C564866, , , , 
Q55782264,Q55782264, , , , , , , , , , , , , ,Q63.8,"C0266313,C2678367", , , , , 
Q55782295,Q55782295, , , , , , , , , , , , , ,Q87.8,C1849348,C535677, , , , 
Q55782307,Q55782307, , , , , , , , , , , , , ,E34.3,"C1849157,C1849158", , , , , 
Q55782328,Q55782328, , , , , , , , , , , , , , ,C0432243, , , , , 
Q55782334,Q55782334, , , , , , , , , , , , , ,E72.1,"C0268624,C2931746",C538141, , , , 
Q55782374,Q55782374, , , , , , , , , , , , , ,Q87.2,C1848651,C535612, , , , 
Q55782410,Q55782410, , , , , , , , , , , , , , ,"C1848221,C2746068,C3806579",C535532, , , , 
Q55782417,Q55782417, , , , , , , , , , , , , ,Q77.7,C1848097,C564714, , , , 
Q55782425,Q55782425, , , , , , , , , , , , , ,Q87.8,C1846242,C564570, , , , 
Q55782438,Q55782438, , , , , , , , , , , , , ,Q78.2,C1845919, , , , , 
Q55782445,Q55782445, , , , , , , , , , , , , ,Q87.8,C1845530,C537495, , , , 
Q55782448,Q55782448, , , , , , , , , , , , , , ,C2749137,C567595, , , , 
Q55782450,Q55782450, , , , , , , , , , , , , ,Q87.8,C1845343,C564505, , , , 
Q55782451,Q55782451, , , , , , , , , , , , , ,E22.2,C1845202,C564491, , , , 
Q55782453,Q55782453, , , , , , , , , , , , , ,Q87.1,C1845118, , , , , 
Q55782454,Q55782454, , , , , , , , , , , , , , ,C1845117,C536289, , , , 
Q55782460,Q55782460, , , , , , , , , , , , , ,D84.8,C1970879,C567070, , , , 
Q55782461,Q55782461, , , , , , , , , , , , , , ,C1845073,C564468, , , , 
Q55782462,Q55782462, , , , , , , , , , , , , , ,C1845070,C564467, , , , 
Q55782463,Q55782463, , , , , , , , , , , , , ,D84.8,C1970859,C567068, , , , 
Q55782466,Q55782466, , , , , , , , , , , , , ,E74.0,"C0684324,C1970848",C567067,C126738, , , 
Q55782468,Q55782468, , , , , , , , , , , , , ,E79.8,C1970827,C567064, , , , 
Q55787654,Q55787654, , , , , , , , , , , , , , , , , , , , 
Q55787655,Q55787655, , , , , , , , , , , , , ,E25.0, , , , , , 
Q55787656,Q55787656, , , , , , , , , , , , , ,E25.0, , , , , , 
Q55787657,Q55787657, , , , , , , , , , , , , , , , , , , , 
Q55787662,Q55787662, , , , , , , , , , , , , , , , , , , , 
Q55787663,Q55787663, , , , , , , , , , , , , , , , , , , , 
Q55787664,Q55787664, , , , , , , , , , , , , ,Q74.0, , , , , , 
Q55787670,Q55787670, , , , , , , , , , , , , , , , , , , , 
Q55787671,Q55787671, , , , , , , , , , , , , , , , , , , , 
Q55787672,Q55787672, , , , , , , , , , , , , , , , , , , , 
Q55787673,Q55787673, , , , , , , , , , , , , ,Q87.2, , , , , , 
Q55787679,Q55787679, , , , , , , , , , , , , , , , , , , , 
Q55787688,Q55787688, , , , , , , , , , , , , ,H90.5, , , , , , 
Q55787692,Q55787692, , , , , , , , , , , , , ,Q99.8, , , , , , 
Q55787706,Q55787706, , , , , , , , , , , , , , ,C2931364,C536898, , , , 
Q55787712,Q55787712, , , , , , , , , , , , , , ,C2931485,C537402, , , , 
Q55787714,Q55787714, , , , , , , , , , , , , ,Q87.0, , , , , , 
Q55787716,Q55787716, , , , , , , , , , , , , ,Q92.3,C2931247,C536579, , , , 
Q55787720,Q55787720, , , , , , , , , , , , , ,Q20.8,C4023262, , , , , 
Q55787735,Q55787735, , , , , , , , , , , , ,745.19,Q20.2,C0265809, , , , , 
Q55787736,Q55787736, , , , , , , , , , , , , ,Q87.8,C2931177,C536349, , , , 
Q55787738,Q55787738, , , , , , , , , , , , , ,Q87.8, , , , , , 
Q55787751,Q55787751, , , , , , , , , , , , , , , , , , , , 
Q55787752,Q55787752, , , , , , , , , , , , , ,Q87.2, , , , , , 
Q55787753,Q55787753, , , , , , , , , , , , , ,Q04.8, , , , , , 
Q55787755,Q55787755, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55787756,Q55787756, , , , , , , , , , , , , ,M89.5, , , , , , 
Q55787758,Q55787758, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55787759,Q55787759, , , , , , , , , , , , , , , , , , , , 
Q55787767,Q55787767, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55787782,Q55787782, , , , , , , , , , , , , , ,C0158632, , , , , 
Q55787783,Q55787783, , , , , , , , , , , , , , , , , , , , 
Q55787787,Q55787787, , , , , , , , , , , , , ,E88.8, , , , , , 
Q55787794,Q55787794, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55787795,Q55787795, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55787797,Q55787797, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55787804,Q55787804, , , , , , , , , , , , , , , , , , , , 
Q55787806,Q55787806, , , , , , , , , , , , , , , , , , , , 
Q55787807,Q55787807, , , , , , , , , , , , , , , , , , , , 
Q55787808,Q55787808, , , , , , , , , , , , , , , , , , , , 
Q55787809,Q55787809, , , , , , , , , , , , , , , , , , , , 
Q55787817,Q55787817, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55787818,Q55787818, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55787820,Q55787820, , , , , , , , , , , , , ,Q87.8, , , , , , 
Q55787821,Q55787821, , , , , , , , , , , , , ,Q87.2, , , , , , 
Q55787822,Q55787822, , , , , , , , , , , , , ,Q87.0, , , , , , 
Q55787823,Q55787823, , , , , , , , , , , , , ,Q77.8, , , , , , 
Q55787824,Q55787824, , , , , , , , , , , , , ,Q77.8, , , , , , 
Q55787827,Q55787827, , , , , , , , , , , , , ,Q06.4, , , , , , 
Q55787831,Q55787831, , , , , , , , , , , , , ,Q86.8,C1739111, , , , , 
Q55787832,Q55787832, , , , , , , , , , , , ,760.8,Q86.8, , , , , , 
Q55787839,Q55787839, , , , , , , , , , , , , ,E77.8, , , , , , 
Q55787890,Q55787890, , , , , , , , , , , , , ,E77.8, , , , , , 
Q55787895,Q55787895, , , , , , , , , , , , , ,E77.8, , , , , , 
Q55787913,Q55787913, , , , , , , , , , , , , ,E77.8, , , , , , 
Q55787919,Q55787919, , , , , , , , , , , , , ,E77.8, , , , , , 
Q55787920,Q55787920, , , , , , , , , , , , , ,E77.8, , , , , , 
Q55787951,Q55787951, , , , , , , , , , , , , ,M80.5, , , , , , 
Q55787965,Q55787965, , , , , , , , , , , , , ,Q87.1, , , , , , 
Q55787977,Q55787977, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55787978,Q55787978, , , , , , , , , , , , , ,G72.3, , , , , , 
Q55787986,Q55787986, , , , , , , , , , , , , ,Q87.1, , , , , , 
Q55787987,Q55787987, , , , , , , , , , , , , ,Q87.1, , , , , , 
Q55788073,Q55788073, , , , , , , , , , , , , ,E88.8, , , , , , 
Q55788075,Q55788075, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55788076,Q55788076, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55788077,Q55788077, , , , , , , , , , , , , ,Q04.3, , , , , , 
Q55788087,Q55788087, , , , , , , , ,"Q341500,Q554297","Q341500,Q554297", , , ,Q86.8,C2931755,C538169, , , , 
Q55788088,Q55788088, , , , , , , , , , , , , ,Q87.8, , , , , , 
Q55788090,Q55788090, , , , , , , , , , , , , ,Q87.3, , , , , , 
Q55788096,Q55788096, , , , , , , , , , , , , , , , , , , , 
Q55788097,Q55788097, , , , , , , , , , , , , , , , , , , , 
Q55788100,Q55788100, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55788101,Q55788101, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55788106,Q55788106, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55788120,Q55788120, , , , , , , , , , , , , ,Q77.7, , , , , , 
Q55788123,Q55788123, , , , , , , , , , , , , ,Q87.1, , , , , , 
Q55788125,Q55788125, , , , , , , , , , , , , , , , , , , , 
Q55788127,Q55788127, , , , , , , , , , , , , ,Q20.1, , , , , , 
Q55788128,Q55788128, , , , , , , , , , , , , ,Q24.8, , , , , , 
Q55788168,Q55788168, , , , , , , , , , , , , ,Q64.4,C0266357, ,C99005, , , 
Q55788170,Q55788170, , , , , , , , , , , , , ,Q64.4,C0431743, ,C123254, , , 
Q55788175,Q55788175, , , , , , , , , , , , , , , , , , , , 
Q55788176,Q55788176, , , , , , , , , , , , , ,Q64.7, , , , , , 
Q55788180,Q55788180, , , , , , , , , , , , , ,Q72.8, , , , , , 
Q55788181,Q55788181, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55788182,Q55788182, , , , , , , , , , , , , , ,C1739100, , , , , 
Q55788183,Q55788183, , , , , , , , , , , , , ,M89.8, , , , , , 
Q55788185,Q55788185, , , , , , , , , , , , , ,Q87.8, , , , , , 
Q55788187,Q55788187, , , , , , , , , , , , , ,Q87.0, , , , , , 
Q55788188,Q55788188, , , , , , , , , , , , , ,Q87.8, , , , , , 
Q55788208,Q55788208, , , , , , , , , , , , , , , , , , , , 
Q55788216,Q55788216, , , , , , , , , , , , , ,H26.0, , , , , , 
Q55788220,Q55788220, , , , , , , , , , , , , , , , , , , , 
Q55788229,Q55788229, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55788230,Q55788230, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55788233,Q55788233, , , , , , , , , , , , , , , , , , , , 
Q55788243,Q55788243, , , , , , , , , , , , , , , , , , , , 
Q55788244,Q55788244, , , , , , , , , , , , , , , , , , , , 
Q55788245,Q55788245, , , , , , , , , , , , , ,Q77.8, , , , , , 
Q55788261,Q55788261, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55788263,Q55788263, , , , , , , , , , , , , , , , , , , , 
Q55788265,Q55788265, , , , , , , , , , , , , , , , , , , , 
Q55788268,Q55788268, , , , , , , , , , , , , ,G31.8, , , , , , 
Q55788271,Q55788271, , , , , , , , , , , , , , , , , , , , 
Q55788284,Q55788284, , , , , , , , , , , , , , , , , , , , 
Q55788285,Q55788285, , , , , , , , , , , , , ,Q04.0, , , , , , 
Q55788292,Q55788292, , , , , , , , , , , , , , , , , , , , 
Q55788293,Q55788293, , , , , , , , , , , , , , , , , , , , 
Q55788315,Q55788315, , , , , , , , , , , , , ,J34.8, , , , , , 
Q55788318,Q55788318, , , , , , , , , , , , , , , , , , , , 
Q55788319,Q55788319, , , , , , , , , , , , , , , , , , , , 
Q55788323,Q55788323, , , , , , , , , , , , , , , , , , , , 
Q55788329,Q55788329, , , , , , , , , , , , , , , , , , , , 
Q55788331,Q55788331, , , , , , , , , , , , , , , , , , , , 
Q55788359,Q55788359, , , , , , , , , , , , , , , , , , , , 
Q55788360,Q55788360, , , , , , , , , , , , , , , , , , , , 
Q55788367,Q55788367, , , , , , , , , , , , , , , , , , , , 
Q55788368,Q55788368, , , , , , , , , , , , , , , , , , , , 
Q55788369,Q55788369, , , , , , , , , , , , , , , , , , , , 
Q55788370,Q55788370, , , , , , , , , , , , , , , , , , , , 
Q55788373,Q55788373, , , , , , , , , , , , , , , ,C538514, , , , 
Q55788380,Q55788380, , , , , , , , , , , , , , , , , , , , 
Q55788386,Q55788386, , , , , , , , , , , , , ,Q87.8, , , , , , 
Q55788389,Q55788389, , , , , , , , , , , , , , , , , , , , 
Q55788409,Q55788409, , , , , , , , , , , , , ,Q93.0,C0795875,C537108,C36469, , , 
Q55788412,Q55788412, , , , , , , , , , , , ,"215.9,733.29",M85.0, , , , , , 
Q55788427,Q55788427, , , , , , , , , , , , , ,Q43.3,C0266235, , , , , 
kraniorrakiskisi,Q55788430, , , , , , , , , , , , ,740.1,Q00.1,C0152426, ,C98907, , , 
Q55788433,Q55788433, , , , , , , , , , , , , ,Q87.8,C2931271,C536633, , , , 
Q55788435,Q55788435, , , , , , , , , , , , , ,Q75.4, , , , , , 
Q55788448,Q55788448, , , , , , , , , , , , , , , , , , , , 
Q55788458,Q55788458, , , , , , , , , , , , , , , , , , , , 
Q55788468,Q55788468, , , , , , , , , , , , , ,Q73.8, , , , , , 
Q55788481,Q55788481, , , , , , , , , , , , , ,P35.8, , , , , , 
Q55788485,Q55788485, , , , , , , , , , , , , , , , , , , , 
Q55788500,Q55788500, , , , , , , , , , , , , ,Q79.8, , , , , , 
Q55788501,Q55788501, , , , , , , , , , , , , ,G12.8, , , , , , 
Q55788503,Q55788503, , , , , , , , , , , , , ,Q87.8, , , , , , 
Q55788508,Q55788508, , , , , , , , , , , , , ,Q87.8, , , , , , 
Q55788514,Q55788514, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55788517,Q55788517, , , , , , , , , , , , , ,Q87.0, , , , , , 
Q55788531,Q55788531, , , , , , , , , , , , , , , , , , , , 
Q55788534,Q55788534, , , , , , , , , , , , , , , , , , , , 
Q55788560,Q55788560, , , , , , , , , , , , , , , , , , , , 
Q55788568,Q55788568, , , , , , , , , , , , , ,E77.1, , , , , , 
Q55788575,Q55788575, , , , , , , , , , , , , ,E16.1, , , , , , 
Q55788606,Q55788606, , , , , , , , , , , , , , , , , , , , 
Q55788608,Q55788608, , , , , , , , , , , , , ,Q81.8, , , , , , 
Q55788612,Q55788612, , , , , , , , , , , , ,759.6,Q85.8, , , , , , 
Q55788613,Q55788613, , , , , , , , , , , , ,759.6,Q85.8, , , , , , 
Q55788614,Q55788614, , , , , , , , , , , , ,759.6,Q85.8, , , , , , 
Q55788620,Q55788620, , , , , , , , , , , , , ,Q79.6,C1845235, , , , , 
Q55788621,Q55788621, , , , , , , , , , , , , , , , ,C35107, , , 
Q55788633,Q55788633, , , , , , , , , , , , , ,Q87.0, , , , , , 
Q55788642,Q55788642, , , , , , , , , , , , , ,Q87.5,C4303862, , , , , 
Q55788643,Q55788643, , , , , , , , , , , , , ,Q78.8,CL952027, , , , , 
Q55788644,Q55788644, , , , , , , , , , , , , ,Q77.3,C1300228,C535392, , , , 
Q55788646,Q55788646, , , , , , , , , , , , , ,Q78.4, , , , , , 
Q55788647,Q55788647, , , , , , , , , , , , , ,Q77.8, , , , , , 
Q55788648,Q55788648, , , , , , , , , , , , , ,Q87.8, , , , , , 
Q55788650,Q55788650, , , , , , , , , , , , , ,Q87.8, , , , , , 
Q55788652,Q55788652, , , , , , , , , , , , , ,Q87.8, , , , , , 
Q55788654,Q55788654, , , , , , , , , , , , , ,Q87.8, , , , , , 
Q55788655,Q55788655, , , , , , , , , , , , , ,Q87.8, , , , , , 
Q55788657,Q55788657, , , , , , , , , , , , , ,Q87.8, , , , , , 
Q55788658,Q55788658, , , , , , , , , , , , , ,Q87.8, , , , , , 
Q55788667,Q55788667, , , , , , , , , , , , , ,Q04.3, , , , , , 
Q55788668,Q55788668, , , , , , , , , , , , , ,Q04.3, , , , , , 
Q55788693,Q55788693, , , , , , , , , , , , , , , , , , , , 
Q55788698,Q55788698, , , , , , , , , , , , , ,Q81.2, , , , , , 
Q55788700,Q55788700, , , , , , , , , , , , , ,Q81.2, , , , , , 
Q55788725,Q55788725, , , , , , , , , , , , , ,Q79.6,C0268336,C536195,C125697, , , 
Q55788726,Q55788726, , , , , , , , , , , , , ,Q82.8,C0432337,C567855, , , , 
Q55788734,Q55788734, , , , , , , , , , , , , ,H90.3, , , , , , 
Q55788736,Q55788736, , , , , , , , , , , , , ,E25.0, , , , , , 
Q55788737,Q55788737, , , , , , , , , , , , , , , , , , , , 
Q55788738,Q55788738, , , , , , , , , , , , , , , , , , , , 
Q55788739,Q55788739, , , , , , , , , , , , , ,E29.1, , , , , , 
Q55788743,Q55788743, , , , , , , , , , , , , ,Q87.5, , , , , , 
Q55788747,Q55788747, , , , , , , , , , , , , ,Q56.2, , , , , , 
Q55788753,Q55788753, , , , , , , , , , , , , ,Q39.8, , , , , , 
Q55788754,Q55788754, , , , , , , , , , , , ,750.4,Q39.6, , , , , , 
Q55788761,Q55788761, , , , , , , , , , , , , ,Q60.0,C0266294, ,C101220, , , 
Q55788762,Q55788762, , , , , , , , , , , , ,753.3,Q63.8,C0266317, , , , , 
Q55788766,Q55788766, , , , , , , , , , , , , ,Q61.4,C0431697, , , , , 
Q55788767,Q55788767, , , , , , , , , , , , , ,Q61.4,C0431698, ,C101313, , , 
Q55788768,Q55788768, , , , , , , , , , , , , ,Q63.8, , , , , , 
Q55788769,Q55788769, , , , , , , , , , , , , ,Q63.8, , , , , , 
Q55788781,Q55788781, , , , , , , , , , , , , ,Q87.0, , , , , , 
Q55788782,Q55788782, , , , , , , , , , , , , ,Q87.0, , , , , , 
Q55788783,Q55788783, , , , , , , , , , , , , ,Q87.0, , , , , , 
Q55788786,Q55788786, , , , , , , , , , , , ,755.59,Q71.5, , , , , , 
Q55788790,Q55788790, , , , , , , , , , , , , ,Q73.8,C1862138, , , , , 
Q55788791,Q55788791, , , , , , , , , , , , , ,Q73.8, , , , , , 
Q55788793,Q55788793, , , , , , , , , , , , , ,E77.1, , , , , , 
Q55788794,Q55788794, , , , , , , , , , , , , ,E77.1, , , , , , 
Q55788803,Q55788803, , , , , , , , , , , , ,756.3,Q77.2,C0432195, , , , , 
Q55788804,Q55788804, , , , , , , , , , , , , ,Q78.8, , , , , , 
Q55788805,Q55788805, , , , , , , , , , , , , ,Q78.5, , , , , , 
Q55787136,Q55787136, , , , , , , , , , , , , ,Q69.1, , , , , , 
Q55787137,Q55787137, , , , , , , , , , , , , ,Q69.1, , , , , , 
Q55787138,Q55787138, , , , , , , , , , , , , ,Q69.1, , , , , , 
Q55787139,Q55787139, , , , , , , , , , , , , ,Q69.1, , , , , , 
Q55787141,Q55787141, , , , , , , , , , , , , ,Q69.0, , , , , , 
Q55787142,Q55787142, , , , , , , , , , , , , ,Q69.0, , , , , , 
Q55787143,Q55787143, , , , , , , , , , , , , ,Q70.4, , , , , , 
Q55787144,Q55787144, , , , , , , , , , , , , ,Q70.4, , , , , , 
Q55787145,Q55787145, , , , , , , , , , , , , ,Q69.0, , , , , , 
Q55787146,Q55787146, , , , , , , , , , , , , ,Q69.0, , , , , , 
Q55787147,Q55787147, , , , , , , , , , , , , ,Q69.0, , , , , , 
Q55787149,Q55787149, , , , , , , , , , , , , ,Q69.0, , , , , , 
Q55787150,Q55787150, , , , , , , , , , , , , ,Q69.0, , , , , , 
Q55787151,Q55787151, , , , , , , , , , , , , ,Q69.0, , , , , , 
Q55787160,Q55787160, , , , , , , , , , , , , ,Q69.2, , , , , , 
Q55787161,Q55787161, , , , , , , , , , , , , ,Q69.2, , , , , , 
Q55787162,Q55787162, , , , , , , , , , , , , ,Q69.2, , , , , , 
Q55787163,Q55787163, , , , , , , , , , , , , ,Q69.2, , , , , , 
Q55787164,Q55787164, , , , , , , , , , , , , ,Q69.2, , , , , , 
Q55787166,Q55787166, , , , , , , , , , , , , ,Q69.2, , , , , , 
Q55787167,Q55787167, , , , , , , , , , , , , ,"Q70.0,Q70.1,Q70.2,Q70.3", , , , , , 
Q55787168,Q55787168, , , , , , , , , , , , , ,"Q70.0,Q70.1,Q70.2,Q70.3", , , , , , 
Q55787169,Q55787169, , , , , , , , , , , , , ,Q70.3, , , , , , 
Q55787170,Q55787170, , , , , , , , , , , , , ,Q66.8, , , , , , 
Q55787171,Q55787171, , , , , , , , , , , , , ,Q66.8, , , , , , 
Q55787172,Q55787172, , , , , , , , , , , , , ,Q74.0, , , , , , 
Q55787173,Q55787173, , , , , , , , , , , , , ,Q74.0, , , , , , 
Q55787174,Q55787174, , , , , , , , , , , , , ,Q74.0, , , , , , 
Q55787175,Q55787175, , , , , , , , , , , , , ,Q74.0, , , , , , 
Q55787176,Q55787176, , , , , , , , , , , , , ,Q74.0, , , , , , 
Q55787177,Q55787177, , , , , , , , , , , , , ,Q74.0, , , , , , 
Q55787178,Q55787178, , , , , , , , , , , , , ,Q74.0, , , , , , 
Q55787180,Q55787180, , , , , , , , , , , , , ,Q74.0, , , , , , 
Q55787181,Q55787181, , , , , , , , , , , , , ,Q74.0, , , , , , 
Q55787182,Q55787182, , , , , , , , , , , , , ,Q74.0, , , , , , 
Q55787183,Q55787183, , , , , , , , , , , , , ,Q68.8, , , , , , 
Q55787184,Q55787184, , , , , , , , , , , , , ,Q68.8, , , , , , 
Q55787185,Q55787185, , , , , , , , , , , , , ,Q68.2, , , , , , 
Q55787186,Q55787186, , , , , , , , , , , , , ,Q74.1, , , , , , 
Q55787187,Q55787187, , , , , , , , , , , , , ,Q74.1, , , , , , 
Q55787189,Q55787189, , , , , , , , , , , , , ,Q74.0, , , , , , 
Q55787190,Q55787190, , , , , , , , , , , , , ,Q74.0, , , , , , 
Q55787191,Q55787191, , , , , , , , , , , , , ,Q74.2, , , , , , 
Q55787192,Q55787192, , , , , , , , , , , , , ,Q74.2, , , , , , 
Q55787193,Q55787193, , , , , , , , , , , , , ,Q87.8,"C2931761,C2931790","C538180,C538277", , , , 
Q55787196,Q55787196, , , , , , , , , , , , , ,Q56.2, , , , , , 
Q55787200,Q55787200, , , , , , , , , , , , , ,Q92.3, , , , , , 
Q55787201,Q55787201, , , , , , , , , , , , , ,Q87.2, , , , , , 
Q55787223,Q55787223, , , , , , , , , , , , , ,Q87.8,C0796264,C536715, , , , 
Q55787236,Q55787236, , , , , , , , , , , , , , , , , , , , 
Q55787265,Q55787265, , , , , , , , , , , , , ,Q87.8, , , , , , 
Q55787278,Q55787278, , , , , , , , , , , , , ,Q87.2,C2931547,C537615, , , , 
Q55787293,Q55787293, , , , , , , , , , , , , , , , , , , , 
Q55787305,Q55787305, , , , , , , , , , , , , , , , , , , , 
Q55787309,Q55787309, , , , , , , , , , , , , ,E77.1, , , , , , 
Q55787311,Q55787311, , , , , , , , , , , , , ,E77.1, , , , , , 
Q55787312,Q55787312, , , , , , , , , , , , , ,E77.1, , , , , , 
Q55787346,Q55787346, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55787355,Q55787355, , , , , , , , , , , , , ,Q92.3, , , , , , 
Q55787374,Q55787374, , , , , , , , , , , , , ,Q78.0, , , , , , 
Q55787375,Q55787375, , , , , , , , , , , , , ,Q92.3, , , , , , 
Q55787376,Q55787376, , , , , , , , , , , , , , , , , , , , 
Q55787377,Q55787377, , , , , , , , , , , , , ,Q99.8, , , , , , 
Q55787379,Q55787379, , , , , , , , , , , , , ,K43.6, , , , , , 
Q55787386,Q55787386, , , , , , , , , , , , , , , , , , , , 
Q55787388,Q55787388, , , , , , , , , , , , , ,Q89.2, , , , , , 
Q55787391,Q55787391, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55787396,Q55787396, , , , , , , , , , , , , , , , , , , , 
Q55787452,Q55787452, , , , , , , , , , , , , ,Q93.5, ,C538302, , , , 
Q55787468,Q55787468, , , , , , , , , , , , , ,Q05.9, , , , , , 
Q55787472,Q55787472, , , , , , , , , , , , , ,Q26.3,"C0265915,C0344679", , , , , 
Q55787474,Q55787474, , , , , , , , , , , , , ,Q24.3,C3165028, , , , , 
Q55787475,Q55787475, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55787476,Q55787476, , , , , , , , , , , , , ,Q04.8, , , , , , 
Q55787477,Q55787477, , , , , , , , , , , , , ,Q77.6, , , , , , 
Q55787478,Q55787478, , , , , , , , , , , , , ,Q25.6,C2910138, , , , , 
Q55787483,Q55787483, , , , , , , , , , , , , ,Q74.3, , , , , , 
Q55787533,Q55787533, , , , , , , , , , , , , , , , , , , , 
Q55787550,Q55787550, , , , , , , , , , , , , , ,C2931292,C536701, , , , 
Q55787551,Q55787551, , , , , , , , , , , , , ,Q87.8,C2931654,C537887, , , , 
Q55787552,Q55787552, , , , , , , , , , , , , , ,C2931369, , , , , 
Q55787554,Q55787554, , , , , , , , , , , , , , , , , , , , 
Q55787557,Q55787557, , , , , , , , , , , , , ,Q68.4, , , , , , 
Q55787558,Q55787558, , , , , , , , , , , , , ,Q93.5, , , , , , 
Q55787559,Q55787559, , , , , , , , , , , , , ,H47.4, , , , , , 
Q55787561,Q55787561, , , , , , , , , , , , , ,M85.8, , , , , , 
Q55787563,Q55787563, , , , , , , , , , , , , , , , , , , , 
Q55787564,Q55787564, , , , , , , , , , , , , ,I42.2, , , , , , 
Q55787565,Q55787565, , , , , , , , , , , , , ,Q87.0, , , , , , 
Q55787566,Q55787566, , , , , , , , , , , , , ,E16.1, , , , , , 
Q55787615,Q55787615, , , , , , , , , , , , , ,Q87.1, , , , , , 
Q55787624,Q55787624, , , , , , , , , , , , , , , , , , , , 
Q55787625,Q55787625, , , , , , , , , , , , , , , , , , , , 
Q55787626,Q55787626, , , , , , , , , , , , , ,Q56.2, , , , , , 
Q55787627,Q55787627, , , , , , , , , , , , , ,Q56.2, , , , , , 
Q55787628,Q55787628, , , , , , , , , , , , , , , , , , , , 
Q55787629,Q55787629, , , , , , , , , , , , , , , , , , , , 
Q55787645,Q55787645, , , , , , , , , , , , , , , , , , , , 
Q55787650,Q55787650, , , , , , , , , , , , , , , , , , , , 
Q55787653,Q55787653, , , , , , , , , , , , , , , , , , , , 
Q55784055,Q55784055, , , , , , , , , , , , , , ,C0268603,C562678, , , , 
Q55784057,Q55784057, , , , , , , , , , , , , , ,C3151379, , , , , 
Q55784058,Q55784058, , , , , , , , , , , , , , ,C3151421, , , , , 
Q55784059,Q55784059, , , , , , , , , , , , , ,E34.8,C3151446, , , , , 
Q55784062,Q55784062, , , , , , , , , , , , , , ,C3151465, , , , , 
Q55784063,Q55784063, , , , , , , , , , , , , ,E78.4,C3151466, , , , , 
Q55784064,Q55784064, , , , , , , , , , , , , , ,"C1841858,C3279657",C564215, , , , 
Q55784065,Q55784065, , , , , , , , , , , , , , ,C1841651,C564200, , , , 
Q55784067,Q55784067, , , , , , , , , , , , , , ,"C1863095,C3279661",C566304, , , , 
Q55784083,Q55784083, , , , , , , , , , , , , , ,"C0342735,C1863485",C536005, , , , 
Q55784084,Q55784084, , , , , , , , , , , , , , ,C3279716, , , , , 
Q55784094,Q55784094, , , , , , , , , , , , , , ,C3279757, , , , , 
Q55784109,Q55784109, , , , , , , , , , , , , , ,"C3279786,C3279787", , , , , 
Q55784168,Q55784168, , , , , , , , , , , , , , ,C2675436, , , , , 
